data,valor,taxa_anual
1986-12-16,0.23611,81.17548025137897
1986-12-17,0.239288,82.62879216640593
1986-12-18,0.240904,83.37224281357358
1986-12-19,0.240548,83.20820438230297
1986-12-22,0.243507,84.57611232545955
1986-12-23,0.245671,85.58293772453453
1986-12-24,0.245671,85.58293772453453
1986-12-26,0.245671,85.58293772453453
1986-12-29,0.247836,86.59570229870737
1986-12-30,0.30526,115.5630960360662
1986-12-31,0.30526,115.5630960360662
1987-01-02,0.30526,115.5630960360662
1987-01-05,0.416301,184.88086785390806
1987-01-06,0.407068,178.35556852255704
1987-01-07,0.405836,177.49620230032411
1987-01-08,0.40937,179.96840995894607
1987-01-09,0.499288,250.81019668164214
1987-01-12,0.497425,249.17521594460666
1987-01-13,0.498904,250.47257311819953
1987-01-14,0.500356,251.75091663033294
